HTTP Code,Download Time,Download Size,URL
07/17/2014 11:19:35 AM,200,0.033,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:20:05 AM,200,0.026,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:20:35 AM,200,0.027,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:21:05 AM,200,0.031,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:21:35 AM,200,0.042,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:22:06 AM,200,0.034,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:22:36 AM,200,0.027,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:23:06 AM,200,0.429,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:23:36 AM,200,0.029,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:24:06 AM,200,0.027,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:24:36 AM,200,0.027,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:25:06 AM,200,0.029,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:25:36 AM,200,0.031,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:26:06 AM,200,0.029,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:26:36 AM,200,0.027,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:27:07 AM,200,0.029,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:27:37 AM,200,1.059,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:28:08 AM,200,0.367,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:28:38 AM,200,0.027,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:29:08 AM,200,0.041,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:29:38 AM,200,0.028,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:30:08 AM,200,0.030,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:30:38 AM,200,0.029,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:31:08 AM,200,0.030,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:31:38 AM,200,0.044,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:32:08 AM,200,0.441,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:32:39 AM,200,2.040,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:33:11 AM,200,0.369,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:33:41 AM,200,0.026,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:34:12 AM,200,0.035,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:34:42 AM,200,0.069,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:35:12 AM,200,0.028,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:35:42 AM,200,0.029,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:36:12 AM,200,0.044,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:36:42 AM,200,0.029,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:37:12 AM,200,0.499,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:37:43 AM,200,0.033,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:38:13 AM,200,0.459,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:38:43 AM,200,0.027,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:39:13 AM,200,0.032,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:39:43 AM,200,0.029,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
