HTTP Code,Download Time,Download Size,URL
07/21/2014 10:41:29 AM,200,0.025,1835,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=co
07/21/2014 10:41:29 AM,200,0.030,814,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/21/2014 10:41:29 AM,200,0.029,324,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=comm
07/21/2014 10:41:29 AM,200,0.024,247,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=comma
07/21/2014 10:41:29 AM,200,0.302,99246,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/search?QTEXT=comma
07/21/2014 10:42:00 AM,200,0.050,4982,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=c
07/21/2014 10:42:00 AM,200,0.038,1835,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=co
07/21/2014 10:42:00 AM,200,0.039,814,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/21/2014 10:42:00 AM,200,0.024,324,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=comm
07/21/2014 10:42:00 AM,200,0.024,247,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=comma
07/21/2014 10:42:00 AM,200,0.555,99246,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/search?QTEXT=comma
07/21/2014 10:42:31 AM,200,0.050,4982,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=c
07/21/2014 10:42:31 AM,200,0.029,1835,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=co
07/21/2014 10:42:31 AM,200,0.024,814,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/21/2014 10:42:31 AM,200,0.029,324,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=comm
07/21/2014 10:42:31 AM,200,2.081,247,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=comma
07/21/2014 10:42:31 AM,200,0.406,99246,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/search?QTEXT=comma
07/21/2014 10:43:03 AM,200,0.050,4982,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=c
07/21/2014 10:43:03 AM,200,0.041,1835,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=co
07/21/2014 10:43:03 AM,200,0.027,814,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/21/2014 10:43:03 AM,200,0.027,324,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=comm
07/21/2014 10:43:03 AM,200,0.023,247,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=comma
07/21/2014 10:43:03 AM,200,0.455,99246,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/search?QTEXT=comma
07/21/2014 10:43:34 AM,200,0.106,4982,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=c
07/21/2014 10:43:34 AM,200,0.028,1835,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=co
07/21/2014 10:43:34 AM,200,0.026,814,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/21/2014 10:43:34 AM,200,0.024,324,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=comm
07/21/2014 10:43:34 AM,200,0.027,247,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=comma
07/21/2014 10:43:34 AM,200,0.404,99246,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/search?QTEXT=comma
07/21/2014 10:44:05 AM,200,0.035,4982,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=c
07/21/2014 10:44:05 AM,200,0.025,1835,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=co
07/21/2014 10:44:05 AM,200,0.027,814,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/21/2014 10:44:05 AM,200,0.023,324,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=comm
07/21/2014 10:44:05 AM,200,0.027,247,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=comma
07/21/2014 10:44:05 AM,200,0.417,99246,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/search?QTEXT=comma
07/21/2014 10:44:35 AM,200,0.413,4982,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=c
07/21/2014 10:44:35 AM,200,0.033,1835,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=co
07/21/2014 10:44:35 AM,200,0.029,814,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/21/2014 10:44:35 AM,200,0.025,324,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=comm
07/21/2014 10:44:35 AM,200,0.025,247,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=comma
07/21/2014 10:44:35 AM,200,0.418,99246,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/search?QTEXT=comma
07/21/2014 10:45:07 AM,200,0.048,4982,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=c
07/21/2014 10:45:07 AM,200,0.027,1835,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=co
07/21/2014 10:45:07 AM,200,0.034,814,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/21/2014 10:45:07 AM,200,0.032,324,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=comm
07/21/2014 10:45:07 AM,200,0.023,247,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=comma
07/21/2014 10:45:07 AM,200,0.308,99246,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/search?QTEXT=comma
07/21/2014 10:45:37 AM,200,0.053,4982,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=c
07/21/2014 10:45:37 AM,200,0.173,1835,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=co
07/21/2014 10:45:37 AM,200,0.026,814,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/21/2014 10:45:37 AM,200,0.023,324,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=comm
07/21/2014 10:45:37 AM,200,0.023,247,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=comma
07/21/2014 10:45:37 AM,200,0.371,99246,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/search?QTEXT=comma
07/21/2014 10:46:08 AM,200,0.047,4982,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=c
07/21/2014 10:46:08 AM,200,0.025,1835,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=co
07/21/2014 10:46:08 AM,200,0.044,814,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/21/2014 10:46:08 AM,200,0.024,324,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=comm
07/21/2014 10:46:08 AM,200,0.030,247,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=comma
07/21/2014 10:46:08 AM,200,0.330,99246,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/search?QTEXT=comma
07/21/2014 10:46:38 AM,200,0.028,4982,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=c
07/21/2014 10:46:38 AM,200,0.024,1835,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=co
07/21/2014 10:46:38 AM,200,0.044,814,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/21/2014 10:46:38 AM,200,0.025,324,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=comm
07/21/2014 10:46:38 AM,200,0.048,247,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=comma
07/21/2014 10:46:38 AM,200,0.397,99246,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/search?QTEXT=comma
07/21/2014 10:47:09 AM,200,3.163,4982,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=c
07/21/2014 10:47:09 AM,200,0.028,1835,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=co
07/21/2014 10:47:09 AM,200,0.026,814,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/21/2014 10:47:09 AM,200,0.025,324,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=comm
07/21/2014 10:47:09 AM,200,0.028,247,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=comma
07/21/2014 10:47:09 AM,200,0.391,99246,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/search?QTEXT=comma
07/21/2014 10:47:43 AM,200,0.033,4982,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=c
07/21/2014 10:47:43 AM,200,0.029,1835,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=co
07/21/2014 10:47:43 AM,200,0.023,814,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/21/2014 10:47:43 AM,200,0.026,324,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=comm
07/21/2014 10:47:43 AM,200,0.024,247,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=comma
07/21/2014 10:47:43 AM,200,0.361,99246,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/search?QTEXT=comma
07/21/2014 10:48:13 AM,200,0.053,4982,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=c
07/21/2014 10:48:13 AM,200,0.042,1835,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=co
07/21/2014 10:48:13 AM,200,0.027,814,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/21/2014 10:48:13 AM,200,0.030,324,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=comm
07/21/2014 10:48:13 AM,200,0.026,247,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=comma
07/21/2014 10:48:13 AM,200,0.404,99246,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/search?QTEXT=comma
07/21/2014 10:48:44 AM,200,0.042,4982,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=c
07/21/2014 10:48:44 AM,200,0.219,1835,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=co
07/21/2014 10:48:44 AM,200,0.039,814,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=com
